Name	Type	Subtype	CMC	Power	Toughness	Text	Sets
Asmira, Holy Avenger	Creature	Human Cleric	4	2	3	Flying At the beginning of each end step, put a +1/+1 counter on Asmira, Holy Avenger for each creature put into your graveyard from the battlefield this turn.	MIR
Shock Troops	Creature	Human Soldier	4	2	2	Sacrifice Shock Troops: Shock Troops deals 2 damage to target creature or player.	MMQ 8ED
Roaring Primadox	Creature	Beast	4	4	4	At the beginning of your upkeep, return a creature you control to its owner's hand.	M13 M15
Hollow Warrior	Artifact Creature	Golem Warrior	4	4	4	Hollow Warrior can't attack or block unless you tap an untapped creature you control not declared as an attacking or blocking creature this combat. (This cost is paid as attackers or blockers are declared.)	PCY
Fighting Drake	Creature	Drake	4	2	4	Flying	TMP 7ED 8ED TPR
Giltspire Avenger	Creature	Human Soldier	3	2	2	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {T}: Destroy target creature that dealt damage to you this turn.	CON
Mardu Woe-Reaper	Creature	Human Warrior	1	2	1	Whenever Mardu Woe-Reaper or another Warrior enters the battlefield under your control, you may exile target creature card from a graveyard. If you do, you gain 1 life.	FRF
Karplusan Giant	Creature	Giant	7	3	3	Tap an untapped snow land you control: Karplusan Giant gets +1/+1 until end of turn.	ICE ME2
Centaur Chieftain	Creature	Centaur	4	3	3	Haste Threshold — As long as seven or more cards are in your graveyard, Centaur Chieftain has "When Centaur Chieftain enters the battlefield, creatures you control get +1/+1 and gain trample until end of turn."	TOR
Lazav, Dimir Mastermind	Creature	Shapeshifter	4	3	3	Hexproof Whenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav, Dimir Mastermind become a copy of that card except its name is still Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it gains hexproof and this ability.	GTC
Gustcloak Sentinel	Creature	Human Soldier	4	3	3	Whenever Gustcloak Sentinel becomes blocked, you may untap it and remove it from combat.	ONS DDL DDO
Highland Berserker	Creature	Human Berserker Ally	2	2	1	Whenever Highland Berserker or another Ally enters the battlefield under your control, you may have Ally creatures you control gain first strike until end of turn.	ZEN
Kyren Legate	Creature	Goblin	2	1	1	Haste If an opponent controls a Plains and you control a Mountain, you may cast Kyren Legate without paying its mana cost.	MMQ
Goblin Piledriver	Creature	Goblin Warrior	2	1	2	Protection from blue (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue.) Whenever Goblin Piledriver attacks, it gets +2/+0 until end of turn for each other attacking Goblin.	pJGP ONS VMA ORI
Aura Thief	Creature	Illusion	4	2	2	Flying When Aura Thief dies, you gain control of all enchantments. (You don't get to move Auras.)	UDS
Working Stiff	Creature	Mummy	2	2	2	As Working Stiff comes into play, straighten your arms. When you bend an elbow, sacrifice Working Stiff.	UNH
Lord of Tresserhorn	Creature	Zombie	4	10	4	When Lord of Tresserhorn enters the battlefield, you lose 2 life, you sacrifice two creatures, and target opponent draws two cards. {B}: Regenerate Lord of Tresserhorn.	ALL MED
Crashing Boars	Creature	Boar	5	4	4	Whenever Crashing Boars attacks, defending player chooses an untapped creature he or she controls. That creature blocks Crashing Boars this turn if able.	EXO BTD TPR
Sigiled Paladin	Creature	Human Knight	2	2	2	First strike Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)	ALA
Crazed Goblin	Creature	Goblin Warrior	1	1	1	Crazed Goblin attacks each turn if able.	DST
Ugin's Construct	Artifact Creature	Construct	4	4	5	When Ugin's Construct enters the battlefield, sacrifice a permanent that's one or more colors.	FRF_UGIN FRF
Seht's Tiger	Creature	Cat	4	3	3	Flash (You may cast this spell any time you could cast an instant.) When Seht's Tiger enters the battlefield, you gain protection from the color of your choice until end of turn. (You can't be targeted, dealt damage, or enchanted by anything of the chosen color.)	FUT
Elder Pine of Jukai	Creature	Spirit	3	2	1	Whenever you cast a Spirit or Arcane spell, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest on the bottom of your library in any order. Soulshift 2 (When this creature dies, you may return target Spirit card with converted mana cost 2 or less from your graveyard to your hand.)	SOK
Spined Basher	Creature	Zombie Beast	3	3	1	Morph {2}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Tunneling Geopede	Creature	Insect	3	3	2	Landfall — Whenever a land enters the battlefield under your control, Tunneling Geopede deals 1 damage to each opponent.	BFZ
Zanam Djinn	Creature	Djinn	6	5	6	Flying Zanam Djinn gets -2/-2 as long as blue is the most common color among all permanents or is tied for most common.	INV
Pallimud	Creature	Beast	3	*	3	As Pallimud enters the battlefield, choose an opponent. Pallimud's power is equal to the number of tapped lands the chosen player controls.	TMP
Blisterpod	Creature	Eldrazi Drone	1	1	1	Devoid (This card has no color.) When Blisterpod dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has "Sacrifice this creature: Add {1} to your mana pool."	BFZ
Rhox Brute	Creature	Rhino Warrior	4	4	4		ARB
Wind Drake	Creature	Drake	3	2	2	Flying	POR TMP 6ED S99 BRB S00 7ED 8ED 9ED M10 M13 DGM TPR
Ironroot Treefolk	Creature	Treefolk	5	3	5		LEA LEB 2ED CED CEI 3ED 4ED 5ED
Dawning Purist	Creature	Human Cleric	3	2	2	Whenever Dawning Purist deals combat damage to a player, you may destroy target enchantment that player controls. Morph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Mercurial Kite	Creature	Bird	4	2	2	Flying Whenever Mercurial Kite deals combat damage to a creature, tap that creature. That creature doesn't untap during its controller's next untap step.	SCG
Aphetto Alchemist	Creature	Human Wizard	2	1	2	{T}: Untap target artifact or creature. Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Arrogant Bloodlord	Creature	Vampire Knight	3	4	4	Whenever Arrogant Bloodlord blocks or becomes blocked by a creature with power 1 or less, destroy Arrogant Bloodlord at end of combat.	ROE
Cursecatcher	Creature	Merfolk Wizard	1	1	1	Sacrifice Cursecatcher: Counter target instant or sorcery spell unless its controller pays {1}.	SHM
Lava Hounds	Creature	Hound	4	4	4	Haste When Lava Hounds enters the battlefield, it deals 4 damage to you.	WTH 8ED
Azami, Lady of Scrolls	Creature	Human Wizard	5	0	2	Tap an untapped Wizard you control: Draw a card.	CHK C13
Mausoleum Turnkey	Creature	Ogre Rogue	4	3	2	When Mausoleum Turnkey enters the battlefield, return target creature card of an opponent's choice from your graveyard to your hand.	RAV
Antler Skulkin	Artifact Creature	Scarecrow	5	3	3	{2}: Target white creature gains persist until end of turn. (When it dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)	EVE
Angus Mackenzie	Creature	Human Cleric	3	2	2	{G}{W}{U}, {T}: Prevent all combat damage that would be dealt this turn. Activate this ability only before the combat damage step.	LEG ME3
Alms Beast	Creature	Beast	4	6	6	Creatures blocking or blocked by Alms Beast have lifelink.	GTC
Ancient Hydra	Creature	Hydra	5	5	1	Fading 5 (This creature enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.) {1}, Remove a fade counter from Ancient Hydra: Ancient Hydra deals 1 damage to target creature or player.	NMS
Volcano Hellion	Creature	Hellion	4	6	5	Volcano Hellion has echo {X}, where X is your life total. (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) When Volcano Hellion enters the battlefield, it deals an amount of damage of your choice to you and target creature. The damage can't be prevented.	PLC
Sacred Wolf	Creature	Wolf	3	3	1	Hexproof (This creature can't be the target of spells or abilities your opponents control.)	M11 M12
Streambed Aquitects	Creature	Merfolk Scout	3	2	3	{T}: Target Merfolk creature gets +1/+1 and gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.) {T}: Target land becomes an Island until end of turn.	LRW
Boggart Mob	Creature	Goblin Warrior	4	5	5	Champion a Goblin (When this enters the battlefield, sacrifice it unless you exile another Goblin you control. When this leaves the battlefield, that card returns to the battlefield.) Whenever a Goblin you control deals combat damage to a player, you may put a 1/1 black Goblin Rogue creature token onto the battlefield.	LRW
Standing Troops	Creature	Human Soldier	3	1	4	Vigilance	EXO 6ED 7ED 8ED DDO TPR
Thrashing Mudspawn	Creature	Beast	5	4	4	Whenever Thrashing Mudspawn is dealt damage, you lose that much life. Morph {1}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Craven Giant	Creature	Giant	3	4	1	Craven Giant can't block.	POR STH TPR
Crossbow Infantry	Creature	Human Soldier Archer	2	1	1	{T}: Crossbow Infantry deals 1 damage to target attacking or blocking creature.	MMQ 7ED 8ED 9ED
Pradesh Gypsies	Creature	Human Nomad	3	1	1	{1}{G}, {T}: Target creature gets -2/-0 until end of turn.	LEG 4ED 5ED 6ED
Sunweb	Creature	Wall	4	5	6	Defender (This creature can't attack.) Flying Sunweb can't block creatures with power 2 or less.	MIR 6ED 7ED 8ED
Pegasus Charger	Creature	Pegasus	3	2	1	Flying (This creature can't be blocked except by creatures with flying or reach.) First strike (This creature deals combat damage before creatures without first strike.)	USG ATH 9ED
Deathless Angel	Creature	Angel	6	5	7	Flying {W}{W}: Target creature gains indestructible until end of turn.	pWPN ROE
Somberwald Vigilante	Creature	Human Warrior	1	1	1	Whenever Somberwald Vigilante becomes blocked by a creature, Somberwald Vigilante deals 1 damage to that creature.	AVR DDL
Jetting Glasskite	Creature	Spirit	6	4	4	Flying Whenever Jetting Glasskite becomes the target of a spell or ability for the first time in a turn, counter that spell or ability.	BOK CNS
Rusted Sentinel	Artifact Creature	Golem	4	3	4	Rusted Sentinel enters the battlefield tapped.	M12
Hunted Wumpus	Creature	Beast	4	6	6	When Hunted Wumpus enters the battlefield, each other player may put a creature card from his or her hand onto the battlefield.	MMQ 8ED 9ED 10E
Typhoid Rats	Creature	Rat	1	1	1	Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)	ISD CNS M15 FRF
Gang of Devils	Creature	Devil	6	3	3	When Gang of Devils dies, it deals 3 damage divided as you choose among one, two, or three target creatures and/or players.	AVR DDK
Tenacious Dead	Creature	Skeleton Warrior	1	1	1	When Tenacious Dead dies, you may pay {1}{B}. If you do, return it to the battlefield tapped under its owner's control.	M14
Endangered Armodon	Creature	Elephant	4	4	5	When you control a creature with toughness 2 or less, sacrifice Endangered Armodon.	STH TPR
Ashen Rider	Creature	Archon	8	5	5	Flying When Ashen Rider enters the battlefield or dies, exile target permanent.	THS
Yavimaya Kavu	Creature	Kavu	4	*	*	Yavimaya Kavu's power is equal to the number of red creatures on the battlefield. Yavimaya Kavu's toughness is equal to the number of green creatures on the battlefield.	INV
Diviner Spirit	Creature	Spirit	5	2	4	Whenever Diviner Spirit deals combat damage to a player, you and that player each draw that many cards.	C13
Deadeye Navigator	Creature	Spirit	6	5	5	Soulbond (You may pair this creature with another unpaired creature when either enters the battlefield. They remain paired for as long as you control both of them.) As long as Deadeye Navigator is paired with another creature, each of those creatures has "{1}{U}: Exile this creature, then return it to the battlefield under your control."	AVR
Sidewinder Sliver	Creature	Sliver	1	1	1	All Sliver creatures have flanking. (Whenever a creature without flanking blocks a Sliver, the blocking creature gets -1/-1 until end of turn.)	TSP
Skirk Commando	Creature	Goblin	3	2	1	Whenever Skirk Commando deals combat damage to a player, you may have it deal 2 damage to target creature that player controls. Morph {2}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS ARC
Oracle of Mul Daya	Creature	Elf Shaman	4	2	2	You may play an additional land on each of your turns. Play with the top card of your library revealed. You may play the top card of your library if it's a land card.	ZEN
Woebringer Demon	Creature	Demon	5	4	4	Flying At the beginning of each player's upkeep, that player sacrifices a creature. If the player can't, sacrifice Woebringer Demon.	RAV
Lumbering Satyr	Creature	Satyr Beast	4	5	4	All creatures have forestwalk. (They can't be blocked as long as defending player controls a Forest.)	MMQ
Norritt	Creature	Imp	4	1	1	{T}: Untap target blue creature. {T}: Choose target non-Wall creature the active player has controlled continuously since the beginning of the turn. That creature attacks this turn if able. If it doesn't, destroy it at the beginning of the next end step. Activate this ability only before attackers are declared.	ICE
Stoic Angel	Creature	Angel	4	3	4	Flying, vigilance Players can't untap more than one creature during their untap steps.	ALA
Forerunner of Slaughter	Creature	Eldrazi Drone	2	3	2	Devoid (This card has no color.) {1}: Target colorless creature gains haste until end of turn.	DDP BFZ
Vintara Snapper	Creature	Turtle	2	2	2	Vintara Snapper has shroud as long as you control no untapped lands. (It can't be the target of spells or abilities.)	PCY
Soul of Innistrad	Creature	Avatar	6	6	6	Deathtouch {3}{B}{B}: Return up to three target creature cards from your graveyard to your hand. {3}{B}{B}, Exile Soul of Innistrad from your graveyard: Return up to three target creature cards from your graveyard to your hand.	M15
Knight of the White Orchid	Creature	Human Knight	2	2	2	First strike When Knight of the White Orchid enters the battlefield, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle your library.	ALA DDG ORI
Trained Jackal	Creature	Hound	1	1	2		PTK
Gudul Lurker	Creature	Salamander	1	1	1	Gudul Lurker can't be blocked. Megamorph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)	DTK
Barbarian Outcast	Creature	Human Barbarian Beast	2	2	2	When you control no Swamps, sacrifice Barbarian Outcast.	TOR
Mijae Djinn	Creature	Djinn	3	6	3	Whenever Mijae Djinn attacks, flip a coin. If you lose the flip, remove Mijae Djinn from combat and tap it.	ARN 3ED ME4
Crafty Pathmage	Creature	Human Wizard	3	1	1	{T}: Target creature with power 2 or less can't be blocked this turn.	ONS 9ED 10E
Scab-Clan Mauler	Creature	Human Berserker	2	1	1	Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.) Trample	GPT
Wellgabber Apothecary	Creature	Merfolk Cleric	5	2	3	{1}{W}: Prevent all damage that would be dealt to target tapped Merfolk or Kithkin creature this turn.	LRW
Razing Snidd	Creature	Beast	6	3	3	When Razing Snidd enters the battlefield, return a black or red creature you control to its owner's hand. When Razing Snidd enters the battlefield, each player sacrifices a land.	PLS
Aven Mindcensor	Creature	Bird Wizard	3	2	1	Flash (You may cast this spell any time you could cast an instant.) Flying If an opponent would search a library, that player searches the top four cards of that library instead.	FUT
Kami of False Hope	Creature	Spirit	1	1	1	Sacrifice Kami of False Hope: Prevent all combat damage that would be dealt this turn.	BOK
Narwhal	Creature	Whale	4	2	2	First strike, protection from red	HML ME2
Vassal Soul	Creature	Spirit	3	2	2	Flying	RTR
Spikeshot Elder	Creature	Goblin Shaman	1	1	1	{1}{R}{R}: Spikeshot Elder deals damage equal to its power to target creature or player.	SOM MM2
Nantuko Disciple	Creature	Insect Druid	4	2	2	{G}, {T}: Target creature gets +2/+2 until end of turn.	ODY 8ED
Hunted Ghoul	Creature	Zombie	1	1	2	Hunted Ghoul can't block Humans.	AVR
Smog Elemental	Creature	Elemental	6	3	3	Flying Creatures with flying your opponents control get -1/-1.	GTC
Icatian Priest	Creature	Human Cleric	1	1	1	{1}{W}{W}: Target creature gets +1/+1 until end of turn.	FEM 10E DDC DD3_DVD
Sutured Ghoul	Creature	Zombie	7	*	*	Trample As Sutured Ghoul enters the battlefield, exile any number of creature cards from your graveyard. Sutured Ghoul's power is equal to the total power of the exiled cards and its toughness is equal to their total toughness.	JUD M12
Ornithopter	Artifact Creature	Thopter	0	0	2	Flying (This creature can't be blocked except by creatures with flying or reach.)	ATQ 3ED 4ED 5ED 6ED MRD 9ED 10E M10 M11 M15
Homarid Warrior	Creature	Homarid Warrior	5	3	3	{U}: Homarid Warrior gains shroud until end of turn and doesn't untap during your next untap step. Tap Homarid Warrior. (A creature with shroud can't be the target of spells or abilities.)	FEM 5ED
Hixus, Prison Warden	Creature	Human Soldier	5	4	4	Flash (You may cast this spell any time you could cast an instant.) Whenever a creature deals combat damage to you, if Hixus, Prison Warden entered the battlefield this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)	ORI
Shifting Sliver	Creature	Sliver	4	2	2	Slivers can't be blocked except by Slivers.	LGN
Arc Runner	Creature	Elemental Ox	3	5	1	Haste (This creature can attack and {T} as soon as it comes under your control.) At the beginning of the end step, sacrifice Arc Runner.	M11
Nomad Decoy	Creature	Human Nomad	3	1	2	{W}, {T}: Tap target creature. Threshold — {W}{W}, {T}: Tap two target creatures. Activate this ability only if seven or more cards are in your graveyard.	ODY
Ambassador Oak	Creature	Treefolk Warrior	4	3	3	When Ambassador Oak enters the battlefield, put a 1/1 green Elf Warrior creature token onto the battlefield.	MOR
Yavimaya Ants	Creature	Insect	4	5	1	Trample, haste Cumulative upkeep {G}{G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)	ALL DKM MED
Altac Bloodseeker	Creature	Human Berserker	2	2	1	Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. (It deals combat damage before creatures without first strike, and it can attack and {T} as soon as it comes under your control.)	M15
Norwood Priestess	Creature	Elf Druid	4	1	1	{T}: You may put a green creature card from your hand onto the battlefield. Activate this ability only during your turn, before attackers are declared.	PO2 VMA
Sentinel Spider	Creature	Spider	5	4	4	Vigilance (Attacking doesn't cause this creature to tap.) Reach (This creature can block creatures with flying.)	M13
Quirion Dryad	Creature	Dryad	2	1	1	Whenever you cast a white, blue, black, or red spell, put a +1/+1 counter on Quirion Dryad.	PLS 10E M13
Venser, Shaper Savant	Creature	Human Wizard	4	2	2	Flash (You may cast this spell any time you could cast an instant.) When Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner's hand.	FUT V13
Student of Warfare	Creature	Human Knight	1	1	1	Level up {W} ({W}: Put a level counter on this. Level up only as a sorcery.) LEVEL 2-6 3/3 First strike LEVEL 7+ 4/4 Double strike	ROE
Catacomb Slug	Creature	Slug	5	2	6		RTR ORI
Soltari Champion	Creature	Soltari Soldier	3	2	2	Shadow (This creature can block or be blocked by only creatures with shadow.) Whenever Soltari Champion attacks, other creatures you control get +1/+1 until end of turn.	STH TPR
Heidar, Rimewind Master	Creature	Human Wizard	5	3	3	{2}, {T}: Return target permanent to its owner's hand. Activate this ability only if you control four or more snow permanents.	CSP
Adun Oakenshield	Creature	Human Knight	3	1	2	{B}{R}{G}, {T}: Return target creature card from your graveyard to your hand.	LEG MED
Sandbar Serpent	Creature	Serpent	5	3	4	Cycling {2} ({2}, Discard this card: Draw a card.)	USG
Havoc Demon	Creature	Demon	7	5	5	Flying When Havoc Demon dies, all creatures get -5/-5 until end of turn.	LGN
Mortician Beetle	Creature	Insect	1	1	1	Whenever a player sacrifices a creature, you may put a +1/+1 counter on Mortician Beetle.	ROE
Thragtusk	Creature	Beast	5	5	3	When Thragtusk enters the battlefield, you gain 5 life. When Thragtusk leaves the battlefield, put a 3/3 green Beast creature token onto the battlefield.	M13
Shu Defender	Creature	Human Soldier	3	2	2	Whenever Shu Defender blocks, it gets +0/+2 until end of turn.	PTK
Greater Mossdog	Creature	Plant Hound	4	3	3	Dredge 3 (If you would draw a card, instead you may put exactly three cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)	RAV DDJ MMA
Dragon-Style Twins	Creature	Human Monk	5	3	3	Double strike Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)	pPRE KTK
Quicksilver Gargantuan	Creature	Shapeshifter	7	7	7	You may have Quicksilver Gargantuan enter the battlefield as a copy of any creature on the battlefield, except it's still 7/7.	SOM
Nezumi Bone-Reader	Creature	Rat Shaman	2	1	1	{B}, Sacrifice a creature: Target player discards a card. Activate this ability only any time you could cast a sorcery.	CHK
Vexing Shusher	Creature	Goblin Shaman	2	2	2	Vexing Shusher can't be countered. {R/G}: Target spell can't be countered by spells or abilities.	pLPA SHM
Chartooth Cougar	Creature	Cat Beast	6	4	4	{R}: Chartooth Cougar gets +1/+0 until end of turn. Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, and put it into your hand. Then shuffle your library.)	SCG DD2 CMD DDI CNS VMA DD3_JVC
Animar, Soul of Elements	Creature	Elemental	3	1	1	Protection from white and from black Whenever you cast a creature spell, put a +1/+1 counter on Animar, Soul of Elements. Creature spells you cast cost {1} less to cast for each +1/+1 counter on Animar.	CMD
Arcbound Bruiser	Artifact Creature	Golem	5	0	0	Modular 3 (This enters the battlefield with three +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	DST
Sanctum Gargoyle	Artifact Creature	Gargoyle	4	2	3	Flying When Sanctum Gargoyle enters the battlefield, you may return target artifact card from your graveyard to your hand.	ALA ARC MMA
Deal Broker	Artifact Creature	Construct	3	2	3	Draft Deal Broker face up. Immediately after the draft, you may reveal a card in your card pool. Each other player may offer you one card in his or her card pool in exchange. You may accept any one offer. {T}: Draw a card, then discard a card.	CNS
Border Guard	Creature	Human Soldier	3	1	4		POR S99
Returned Phalanx	Creature	Zombie Soldier	2	3	3	Defender {1}{U}: Returned Phalanx can attack this turn as though it didn't have defender.	THS
Fierce Empath	Creature	Elf	3	1	1	When Fierce Empath enters the battlefield, you may search your library for a creature card with converted mana cost 6 or greater, reveal it, put it into your hand, then shuffle your library.	SCG ARC CMD
Arcbound Crusher	Artifact Creature	Juggernaut	4	0	0	Trample Whenever another artifact enters the battlefield, put a +1/+1 counter on Arcbound Crusher. Modular 1 (This enters the battlefield with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)	DST HOP
Clergy of the Holy Nimbus	Creature	Human Cleric	1	1	1	If Clergy of the Holy Nimbus would be destroyed, regenerate it. {1}: Clergy of the Holy Nimbus can't be regenerated this turn. Only any opponent may activate this ability.	LEG
Ertai, the Corrupted	Creature	Human Wizard	5	3	4	{U}, {T}, Sacrifice a creature or enchantment: Counter target spell.	PLS
White Knight	Creature	Human Knight	2	2	2	First strike (This creature deals combat damage before creatures without first strike.) Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)	LEA LEB 2ED CED CEI 3ED 4ED 5ED ATH pFNM LGN M10 M11 ME4 DDG
Pheres-Band Tromper	Creature	Centaur Warrior	4	3	3	Inspired — Whenever Pheres-Band Tromper becomes untapped, put a +1/+1 counter on it.	BNG
Battered Golem	Artifact Creature	Golem	3	3	2	Battered Golem doesn't untap during your untap step. Whenever an artifact enters the battlefield, you may untap Battered Golem.	5DN
Wild Beastmaster	Creature	Human Shaman	3	1	1	Whenever Wild Beastmaster attacks, each other creature you control gets +X/+X until end of turn, where X is Wild Beastmaster's power.	RTR
Earthshaker	Creature	Spirit	6	4	5	Whenever you cast a Spirit or Arcane spell, Earthshaker deals 2 damage to each creature without flying.	CHK
Quick Sliver	Creature	Sliver	2	1	1	Flash Any player may play Sliver cards as though they had flash.	LGN H09
Jhovall Queen	Creature	Cat Rebel	6	4	7	Vigilance	MMQ
Goblin Piker	Creature	Goblin Warrior	2	2	1		PO2 9ED 10E M10 DPA M11 M12
Neurok Commando	Creature	Human Rogue	3	2	1	Shroud (This creature can't be the target of spells or abilities.) Whenever Neurok Commando deals combat damage to a player, you may draw a card.	MBS
Questing Phelddagrif	Creature	Phelddagrif	4	4	4	{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent puts a 1/1 green Hippo creature token onto the battlefield. {W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life. {U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.	pPRE PLS
Enslaved Scout	Creature	Goblin Scout	3	2	2	{2}: Enslaved Scout gains mountainwalk until end of turn. (It can't be blocked as long as defending player controls a Mountain.)	ALL
Timberwatch Elf	Creature	Elf	3	1	2	{T}: Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield.	LGN EVG C14 DD3_EVG
Etherium-Horn Sorcerer	Artifact Creature	Minotaur Wizard	6	3	6	{1}{U}{R}: Return Etherium-Horn Sorcerer to its owner's hand. Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)	PC2
Viashino Skeleton	Creature	Viashino Skeleton	4	2	1	{1}{B}, Discard a card: Regenerate Viashino Skeleton.	ALA
Our Market Research Shows That Players Like Really Long Card Names So We Made this Card to Have the Absolute Longest Card Name Ever Elemental	Creature	Elemental	3	2	2	Art rampage 2 (Whenever this becomes blocked by a creature, it gets +2/+2 for each creature in the blocker's art beyond the first.)	UNH
Nirkana Assassin	Creature	Vampire Assassin Ally	3	2	3	Whenever you gain life, Nirkana Assassin gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)	BFZ
Corpse Blockade	Creature	Zombie	3	1	4	Defender Sacrifice another creature: Corpse Blockade gains deathtouch until end of turn.	GTC
Faerie Impostor	Creature	Faerie Rogue	1	2	1	Flying When Faerie Impostor enters the battlefield, sacrifice it unless you return another creature you control to its owner's hand.	RTR DDN
Scourge of Kher Ridges	Creature	Dragon	8	6	6	Flying {1}{R}: Scourge of Kher Ridges deals 2 damage to each creature without flying. {5}{R}: Scourge of Kher Ridges deals 6 damage to each other creature with flying.	FUT
Voidmage Prodigy	Creature	Human Wizard	2	2	1	{U}{U}, Sacrifice a Wizard: Counter target spell. Morph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	pMPR ONS TSB
Bloodfire Dwarf	Creature	Dwarf	1	1	1	{R}, Sacrifice Bloodfire Dwarf: Bloodfire Dwarf deals 1 damage to each creature without flying.	APC
Lurking Automaton	Artifact Creature	Construct	5	0	0	Reveal Lurking Automaton as you draft it and note how many cards you've drafted this draft round, including Lurking Automaton. Lurking Automaton enters the battlefield with X +1/+1 counters on it, where X is the highest number you noted for cards named Lurking Automaton.	CNS
Gluetius Maximus	Creature	Beast	5	5	5	As Gluetius Maximus comes into play, an opponent chooses one of your fingers. (Thumbs are fingers, too.) When the chosen finger isn't touching Gluetius Maximus, sacrifice Gluetius Maximus.	UNH
Balshan Griffin	Creature	Griffin	5	3	2	Flying {1}{U}, Discard a card: Return Balshan Griffin to its owner's hand.	ODY
True Believer	Creature	Human Cleric	2	2	2	You have shroud. (You can't be the target of spells or abilities.)	ONS 10E
Woodland Wanderer	Creature	Elemental	4	2	2	Vigilance, trample Converge — Woodland Wanderer enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.	BFZ
Kithkin Harbinger	Creature	Kithkin Wizard	3	1	3	When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle your library and put that card on top of it.	LRW
Hollow Dogs	Creature	Zombie Hound	5	3	3	Whenever Hollow Dogs attacks, it gets +2/+0 until end of turn.	USG S99 BTD 7ED 9ED
Haunted Cadaver	Creature	Zombie	4	2	2	Whenever Haunted Cadaver deals combat damage to a player, you may sacrifice it. If you do, that player discards three cards. Morph {1}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)	ONS
Frostwielder	Creature	Human Shaman	4	1	2	{T}: Frostwielder deals 1 damage to target creature or player. If a creature dealt damage by Frostwielder this turn would die, exile it instead.	CHK
Daghatar the Adamant	Creature	Human Warrior	4	0	0	Vigilance Daghatar the Adamant enters the battlefield with four +1/+1 counters on it. {1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.	FRF
Knotvine Paladin	Creature	Human Knight	2	2	2	Whenever Knotvine Paladin attacks, it gets +1/+1 until end of turn for each untapped creature you control.	ARB DDG
Magmaw	Creature	Elemental	5	4	4	{1}, Sacrifice a nonland permanent: Magmaw deals 1 damage to target creature or player.	ROE DDP
