Name	Type	Subtype	CMC	Colors	Power	Toughness	Text	Sets
Goblin Raider	['Creature']	['Goblin', 'Warrior']	2	['Red']	2	2	Goblin Raider can't block.	['PO2', 'USG', '7ED', '8ED', '9ED']
Lizard Warrior	['Creature']	['Lizard', 'Warrior']	4	['Red']	4	2	NA	['POR', 'CNS']
Merciless Executioner	['Creature']	['Orc', 'Warrior']	3	['Black']	3	1	When Merciless Executioner enters the battlefield, each player sacrifices a creature.	['FRF']
Llanowar Behemoth	['Creature']	['Elemental']	5	['Green']	4	4	Tap an untapped creature you control: Llanowar Behemoth gets +1/+1 until end of turn.	['WTH', '8ED', '9ED']
Master Splicer	['Creature']	['Human', 'Artificer']	4	['White']	1	1	When Master Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield. Golem creatures you control get +1/+1.	['NPH']
Kjeldoran Javelineer	['Creature']	['Human', 'Soldier']	1	['White']	1	2	Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) {T}: Kjeldoran Javelineer deals damage equal to the number of age counters on it to target attacking or blocking creature.	['CSP']
Soulbound Guardians	['Creature']	['Kor', 'Spirit']	5	['White']	4	5	Defender, flying	['ROE']
Soraya the Falconer	['Creature']	['Human']	3	['White']	2	2	Bird creatures get +1/+1. {1}{W}: Target Bird creature gains banding until end of turn. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding a player controls are blocking or being blocked by a creature, that player divides that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)	['HML']
Ulvenwald Tracker	['Creature']	['Human', 'Shaman']	1	['Green']	1	1	{1}{G}, {T}: Target creature you control fights another target creature. (Each deals damage equal to its power to the other.)	['AVR']
Dawn Elemental	['Creature']	['Elemental']	4	['White']	3	3	Flying Prevent all damage that would be dealt to Dawn Elemental.	['SCG']
Dimir Cutpurse	['Creature']	['Spirit']	3	['Blue', 'Black']	2	2	Whenever Dimir Cutpurse deals combat damage to a player, that player discards a card and you draw a card.	['RAV', 'DDH']
Grimclaw Bats	['Creature']	['Bat']	2	['Black']	1	1	Flying {B}, Pay 1 life: Grimclaw Bats gets +1/+1 until end of turn.	['DST']
Shaman of Spring	['Creature']	['Elf', 'Shaman']	4	['Green']	2	2	When Shaman of Spring enters the battlefield, draw a card.	['M15']
Silkenfist Fighter	['Creature']	['Kor', 'Soldier']	2	['White']	1	3	Whenever Silkenfist Fighter becomes blocked, untap it.	['NMS']
Slith Bloodletter	['Creature']	['Slith']	2	['Black']	1	1	Whenever Slith Bloodletter deals combat damage to a player, put a +1/+1 counter on it. {1}{B}: Regenerate Slith Bloodletter.	['MRD']
Stalking Tiger	['Creature']	['Cat']	4	['Green']	3	3	Stalking Tiger can't be blocked by more than one creature.	['MIR', 'POR', '6ED', 'PTK', '10E']
Homing Sliver	['Creature']	['Sliver']	3	['Red']	2	2	Each Sliver card in each player's hand has slivercycling {3}. Slivercycling {3} ({3}, Discard this card: Search your library for a Sliver card, reveal it, and put it into your hand. Then shuffle your library.)	['FUT', 'H09']
Children of Korlis	['Creature']	['Human', 'Rebel', 'Cleric']	1	['White']	1	1	Sacrifice Children of Korlis: You gain life equal to the life you've lost this turn. (Damage causes loss of life.)	['TSP']
Goblin Furrier	['Creature']	['Goblin', 'Warrior']	2	['Red']	2	2	Prevent all damage that Goblin Furrier would deal to snow creatures.	['CSP']
Izzet Chronarch	['Creature']	['Human', 'Wizard']	5	['Blue', 'Red']	2	2	When Izzet Chronarch enters the battlefield, return target instant or sorcery card from your graveyard to your hand.	['GPT', 'CMD', 'DDJ']
Stonebrow, Krosan Hero	['Creature']	['Centaur', 'Warrior']	5	['Red', 'Green']	4	4	Trample Whenever a creature you control with trample attacks, it gets +2/+2 until end of turn.	['TSP']
Etched Oracle	['Artifact', 'Creature']	['Wizard']	4	colorless	0	0	Sunburst (This enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.) {1}, Remove four +1/+1 counters from Etched Oracle: Target player draws three cards.	['5DN', 'HOP', 'MMA', 'MM2']
Hollowsage	['Creature']	['Merfolk', 'Wizard']	4	['Black']	2	2	Whenever Hollowsage becomes untapped, you may have target player discard a card.	['SHM']
Valleymaker	['Creature']	['Giant', 'Shaman']	6	['Red', 'Green']	5	5	{T}, Sacrifice a Mountain: Valleymaker deals 3 damage to target creature. {T}, Sacrifice a Forest: Choose a player. That player adds {G}{G}{G} to his or her mana pool.	['SHM']
Thief of Hope	['Creature']	['Spirit']	3	['Black']	2	2	Whenever you cast a Spirit or Arcane spell, target opponent loses 1 life and you gain 1 life. Soulshift 2 (When this creature dies, you may return target Spirit card with converted mana cost 2 or less from your graveyard to your hand.)	['CHK', 'MM2']
Fleshwrither	['Creature']	['Horror']	4	['Black']	3	3	Transfigure {1}{B}{B} ({1}{B}{B}, Sacrifice this creature: Search your library for a creature card with the same converted mana cost as this creature and put that card onto the battlefield. Then shuffle your library. Transfigure only as a sorcery.)	['FUT']
Winged Sliver	['Creature']	['Sliver']	2	['Blue']	1	1	All Sliver creatures have flying.	['TMP', 'H09', 'TPR']
Toy Boat	['Artifact', 'Creature']	['Ship']	3	colorless	3	3	Cumulative upkeep—Say "Toy Boat" quickly. (At the beginning of your upkeep, put an age counter on Toy Boat, then sacrifice it unless you say "Toy Boat" once for each age counter on it—without pausing between or fumbling it.)	['UNH']
Magma Phoenix	['Creature']	['Phoenix']	5	['Red']	3	3	Flying When Magma Phoenix dies, it deals 3 damage to each creature and each player. {3}{R}{R}: Return Magma Phoenix from your graveyard to your hand.	['M10', 'M11']
Jedit Ojanen of Efrava	['Creature']	['Cat', 'Warrior']	6	['Green']	5	5	Forestwalk (This creature can't be blocked as long as defending player controls a Forest.) Whenever Jedit Ojanen of Efrava attacks or blocks, put a 2/2 green Cat Warrior creature token with forestwalk onto the battlefield.	['PLC']
Flowstone Mauler	['Creature']	['Beast']	6	['Red']	4	5	Trample {R}: Flowstone Mauler gets +1/-1 until end of turn.	['STH', 'TPR']
Wirewood Herald	['Creature']	['Elf']	2	['Green']	1	1	When Wirewood Herald dies, you may search your library for an Elf card, reveal that card, put it into your hand, then shuffle your library.	['ONS', 'EVG', 'DD3_EVG']
Shaleskin Plower	['Creature']	['Beast']	4	['Red']	3	2	Morph {4}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Shaleskin Plower is turned face up, destroy target land.	['LGN']
Quirion Dryad	['Creature']	['Dryad']	2	['Green']	1	1	Whenever you cast a white, blue, black, or red spell, put a +1/+1 counter on Quirion Dryad.	['PLS', '10E', 'M13']
Stormwing Dragon	['Creature']	['Dragon']	6	['Red']	3	3	Flying, first strike Megamorph {5}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.) When Stormwing Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.	['DTK']
Tangle Spider	['Creature']	['Spider']	6	['Green']	3	4	Flash (You may cast this spell any time you could cast an instant.) Reach (This creature can block creatures with flying.)	['DST', '10E']
Anurid Brushhopper	['Creature']	['Frog', 'Beast']	3	['White', 'Green']	3	4	Discard two cards: Exile Anurid Brushhopper. Return it to the battlefield under its owner's control at the beginning of the next end step.	['JUD']
Genesis Hydra	['Creature']	['Plant', 'Hydra']	2	['Green']	0	0	When you cast Genesis Hydra, reveal the top X cards of your library. You may put a nonland permanent card with converted mana cost X or less from among them onto the battlefield. Then shuffle the rest into your library. Genesis Hydra enters the battlefield with X +1/+1 counters on it.	['M15']
Jolting Merfolk	['Creature']	['Merfolk']	4	['Blue']	2	2	Fading 4 (This creature enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.) Remove a fade counter from Jolting Merfolk: Tap target creature.	['NMS']
Ember Hauler	['Creature']	['Goblin']	2	['Red']	2	2	{1}, Sacrifice Ember Hauler: Ember Hauler deals 2 damage to target creature or player.	['M11']
Aku Djinn	['Creature']	['Djinn']	5	['Black']	5	6	Trample At the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.	['VIS']
Vodalian Knights	['Creature']	['Merfolk', 'Knight']	3	['Blue']	2	2	First strike Vodalian Knights can't attack unless defending player controls an Island. When you control no Islands, sacrifice Vodalian Knights. {U}: Vodalian Knights gains flying until end of turn.	['FEM', 'MED']
Hopeful Eidolon	['Enchantment', 'Creature']	['Spirit']	1	['White']	1	1	Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) Enchanted creature gets +1/+1 and has lifelink.	['THS']
Guul Draz Overseer	['Creature']	['Vampire']	6	['Black']	3	4	Flying Landfall — Whenever a land enters the battlefield under your control, other creatures you control get +1/+0 until end of turn. If that land is a Swamp, those creatures get +2/+0 until end of turn instead.	['BFZ']
Varchild's Crusader	['Creature']	['Human', 'Knight']	4	['Red']	3	2	{0}: Varchild's Crusader can't be blocked this turn except by Walls. Sacrifice Varchild's Crusader at the beginning of the next end step.	['ALL', 'ME2']
Glint-Eye Nephilim	['Creature']	['Nephilim']	4	['Blue', 'Black', 'Red', 'Green']	2	2	Whenever Glint-Eye Nephilim deals combat damage to a player, draw that many cards. {1}, Discard a card: Glint-Eye Nephilim gets +1/+1 until end of turn.	['GPT']
Barbarian Lunatic	['Creature']	['Human', 'Barbarian']	3	['Red']	2	1	{2}{R}, Sacrifice Barbarian Lunatic: Barbarian Lunatic deals 2 damage to target creature.	['ODY']
Heliod's Emissary	['Enchantment', 'Creature']	['Elk']	4	['White']	3	3	Bestow {6}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Whenever Heliod's Emissary or enchanted creature attacks, tap target creature an opponent controls. Enchanted creature gets +3/+3.	['THS']
Lesser Werewolf	['Creature']	['Werewolf']	4	['Black']	2	4	{B}: If Lesser Werewolf's power is 1 or more, it gets -1/-0 until end of turn and put a -0/-1 counter on target creature blocking or blocked by Lesser Werewolf. Activate this ability only during the declare blockers step.	['LEG', 'ME3']
Evangel of Heliod	['Creature']	['Human', 'Cleric']	6	['White']	1	3	When Evangel of Heliod enters the battlefield, put a number of 1/1 white Soldier creature tokens onto the battlefield equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)	['THS']
Stalking Yeti	['Creature']	['Yeti']	4	['Red']	3	3	When Stalking Yeti enters the battlefield, if it's on the battlefield, it deals damage equal to its power to target creature an opponent controls and that creature deals damage equal to its power to Stalking Yeti. {2}{S}: Return Stalking Yeti to its owner's hand. Activate this ability only any time you could cast a sorcery. ({S} can be paid with one mana from a snow permanent.)	['CSP']
Narcomoeba	['Creature']	['Illusion']	2	['Blue']	1	1	Flying When Narcomoeba is put into your graveyard from your library, you may put it onto the battlefield.	['FUT', 'MMA']
Daybreak Ranger	['Creature']	['Human', 'Archer', 'Werewolf']	3	['Green']	2	2	{T}: Daybreak Ranger deals 2 damage to target creature with flying. At the beginning of each upkeep, if no spells were cast last turn, transform Daybreak Ranger.	['ISD']
Mannichi, the Fevered Dream	['Creature']	['Spirit']	3	['Red']	1	2	{1}{R}: Switch each creature's power and toughness until end of turn.	['BOK']
Briarberry Cohort	['Creature']	['Faerie', 'Soldier']	2	['Blue']	1	1	Flying Briarberry Cohort gets +1/+1 as long as you control another blue creature.	['SHM']
Desert Nomads	['Creature']	['Human', 'Nomad']	3	['Red']	2	2	Desertwalk Prevent all damage that would be dealt to Desert Nomads by Deserts.	['ARN']
Arcades Sabboth	['Creature']	['Elder', 'Dragon']	8	['White', 'Blue', 'Green']	7	7	Flying At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}. Each untapped creature you control gets +0/+2 as long as it's not attacking. {W}: Arcades Sabboth gets +0/+1 until end of turn.	['LEG', 'CHR', 'ME3']
Gempalm Polluter	['Creature']	['Zombie']	6	['Black']	4	3	Cycling {B}{B} ({B}{B}, Discard this card: Draw a card.) When you cycle Gempalm Polluter, you may have target player lose life equal to the number of Zombies on the battlefield.	['LGN']
Goblin Roughrider	['Creature']	['Goblin', 'Knight']	3	['Red']	3	2	NA	['WWK', 'M15']
Ashling, the Extinguisher	['Creature']	['Elemental', 'Shaman']	4	['Black']	4	4	Whenever Ashling, the Extinguisher deals combat damage to a player, choose target creature that player controls. He or she sacrifices that creature.	['EVE']
Spitting Drake	['Creature']	['Drake']	4	['Red']	2	2	Flying {R}: Spitting Drake gets +1/+0 until end of turn. Activate this ability only once each turn.	['VIS', '6ED']
Flamecore Elemental	['Creature']	['Elemental']	4	['Red']	5	4	Echo {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)	['TSP']
Lava Hounds	['Creature']	['Hound']	4	['Red']	4	4	Haste When Lava Hounds enters the battlefield, it deals 4 damage to you.	['WTH', '8ED']
Soulbright Flamekin	['Creature']	['Elemental', 'Shaman']	2	['Red']	2	1	{2}: Target creature gains trample until end of turn. If this is the third time this ability has resolved this turn, you may add {R}{R}{R}{R}{R}{R}{R}{R} to your mana pool.	['LRW', 'DD2', 'DD3_JVC', 'MM2']
Pegasus Charger	['Creature']	['Pegasus']	3	['White']	2	1	Flying (This creature can't be blocked except by creatures with flying or reach.) First strike (This creature deals combat damage before creatures without first strike.)	['USG', 'ATH', '9ED']
Ersatz Gnomes	['Artifact', 'Creature']	['Gnome']	3	colorless	1	1	{T}: Target spell becomes colorless. {T}: Target permanent becomes colorless until end of turn.	['MIR']
Vulturous Aven	['Creature']	['Bird', 'Shaman']	4	['Black']	2	3	Flying Exploit (When this creature enters the battlefield, you may sacrifice a creature.) When Vulturous Aven exploits a creature, you draw two cards and you lose 2 life.	['DTK']
Angelic Protector	['Creature']	['Angel']	4	['White']	2	2	Flying Whenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.	['TMP', 'DDC', 'DD3_DVD', 'TPR']
Paragon of Eternal Wilds	['Creature']	['Human', 'Druid']	4	['Green']	2	2	Other green creatures you control get +1/+1. {G}, {T}: Another target green creature you control gains trample until end of turn. (If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)	['M15']
Champion Lancer	['Creature']	['Human', 'Knight']	6	['White']	3	3	Prevent all damage that would be dealt to Champion Lancer by creatures.	['S99', 'ME4']
Skylasher	['Creature']	['Insect']	2	['Green']	2	2	Flash Skylasher can't be countered. Reach, protection from blue	['DGM']
Pendelhaven Elder	['Creature']	['Elf', 'Shaman']	2	['Green']	1	1	{T}: Each 1/1 creature you control gets +1/+2 until end of turn.	['TSP']
Allosaurus Rider	['Creature']	['Elf', 'Warrior']	7	['Green']	0	0	You may exile two green cards from your hand rather than pay Allosaurus Rider's mana cost. Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.	['pPRE', 'CSP', 'EVG', 'DD3_EVG']
Fog Elemental	['Creature']	['Elemental']	3	['Blue']	4	4	Flying (This creature can't be blocked except by creatures with flying or reach.) When Fog Elemental attacks or blocks, sacrifice it at end of combat.	['WTH', '6ED', 'BTD', '10E']
Rock Jockey	['Creature']	['Goblin']	3	['Red']	3	3	You can't cast Rock Jockey if you've played a land this turn. You can't play lands if you've cast Rock Jockey this turn.	['SCG']
Zodiac Pig	['Creature']	['Boar']	4	['Black']	3	3	Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)	['PTK']
Samite Censer-Bearer	['Creature']	['Human', 'Rebel', 'Cleric']	1	['White']	1	1	{W}, Sacrifice Samite Censer-Bearer: Prevent the next 1 damage that would be dealt to each creature you control this turn.	['FUT']
Phyrexian Reaper	['Creature']	['Zombie']	5	['Black']	3	3	Whenever Phyrexian Reaper becomes blocked by a green creature, destroy that creature. It can't be regenerated.	['INV']
Clone	['Creature']	['Shapeshifter']	4	['Blue']	0	0	You may have Clone enter the battlefield as a copy of any creature on the battlefield.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', 'ONS', '9ED', '10E', 'M10', 'M11', 'DDI', 'M13', 'M14']
Root Sliver	['Creature']	['Sliver']	4	['Green']	2	2	Root Sliver can't be countered. Sliver spells can't be countered by spells or abilities.	['LGN']
Pit Spawn	['Creature']	['Demon']	7	['Black']	6	4	First strike At the beginning of your upkeep, sacrifice Pit Spawn unless you pay {B}{B}. Whenever Pit Spawn deals damage to a creature, exile that creature.	['EXO']
Keeper of the Lens	['Artifact', 'Creature']	['Golem']	1	colorless	1	2	You may look at face-down creatures you don't control. (You may do this at any time.)	['DTK']
Woodlurker Mimic	['Creature']	['Shapeshifter']	2	['Black', 'Green']	2	1	Whenever you cast a spell that's both black and green, Woodlurker Mimic has base power and toughness 4/5 until end of turn and gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)	['EVE']
Merfolk Assassin	['Creature']	['Merfolk', 'Assassin']	2	['Blue']	1	2	{T}: Destroy target creature with islandwalk.	['DRK', 'TSB']
Observant Alseid	['Enchantment', 'Creature']	['Nymph']	3	['White']	2	2	Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.) Vigilance Enchanted creature gets +2/+2 and has vigilance.	['THS']
King's Assassin	['Creature']	['Human', 'Assassin']	3	['Black']	1	1	{T}: Destroy target tapped creature. Activate this ability only during your turn, before attackers are declared.	['POR']
Flayed Nim	['Creature']	['Skeleton']	4	['Black']	2	2	Whenever Flayed Nim deals combat damage to a creature, that creature's controller loses that much life. {2}{B}: Regenerate Flayed Nim.	['MRD']
Dazzling Ramparts	['Creature']	['Wall']	5	['White']	0	7	Defender {1}{W}, {T}: Tap target creature.	['KTK']
Goka the Unjust	['Creature']	['Ogre', 'Shaman']	4	['Red']	4	4	{T}: Goka the Unjust deals 4 damage to target creature that was dealt damage this turn.	['CHK']
Nephalia Seakite	['Creature']	['Bird']	4	['Blue']	2	3	Flash (You may cast this spell any time you could cast an instant.) Flying	['DKA', 'M14']
Dwarven Demolition Team	['Creature']	['Dwarf']	3	['Red']	1	1	{T}: Destroy target Wall.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '8ED']
Primoc Escapee	['Creature']	['Bird', 'Beast']	7	['Blue']	4	4	Flying Cycling {2} ({2}, Discard this card: Draw a card.)	['LGN']
Abzan Skycaptain	['Creature']	['Bird', 'Soldier']	4	['White']	2	2	Flying When Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)	['FRF']
Phyrexian Vatmother	['Creature']	['Horror']	4	['Black']	4	5	Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.) At the beginning of your upkeep, you get a poison counter.	['MBS']
Canyon Wildcat	['Creature']	['Cat']	2	['Red']	2	1	Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)	['TMP', '8ED', 'DDH', 'TPR']
Desecration Elemental	['Creature']	['Elemental']	4	['Black']	8	8	Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) Whenever a player casts a spell, sacrifice a creature.	['5DN']
Hypnotic Specter	['Creature']	['Specter']	3	['Black']	2	2	Flying Whenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.	['LEA', 'LEB', '2ED', 'CED', 'CEI', '3ED', '4ED', 'ATH', 'pMPR', '9ED', '10E', 'M10']
Lord of Shatterskull Pass	['Creature']	['Minotaur', 'Shaman']	4	['Red']	3	3	Level up {1}{R} ({1}{R}: Put a level counter on this. Level up only as a sorcery.) LEVEL 1-5 6/6 LEVEL 6+ 6/6 Whenever Lord of Shatterskull Pass attacks, it deals 6 damage to each creature defending player controls.	['pLPA', 'ROE']
Nivmagus Elemental	['Creature']	['Elemental']	1	['Blue', 'Red']	1	2	Exile an instant or sorcery spell you control: Put two +1/+1 counters on Nivmagus Elemental. (That spell won't resolve.)	['RTR']
Riftsweeper	['Creature']	['Elf', 'Shaman']	2	['Green']	2	2	When Riftsweeper enters the battlefield, choose target face-up exiled card. Its owner shuffles it into his or her library.	['FUT', 'MMA']
Tireless Missionaries	['Creature']	['Human', 'Cleric']	5	['White']	2	3	When Tireless Missionaries enters the battlefield, you gain 3 life.	['M11', 'M15']
Zhur-Taa Swine	['Creature']	['Boar']	5	['Red', 'Green']	5	4	Bloodrush — {1}{R}{G}, Discard Zhur-Taa Swine: Target attacking creature gets +5/+4 until end of turn.	['GTC']
Tidal Courier	['Creature']	['Merfolk']	4	['Blue']	1	2	When Tidal Courier enters the battlefield, reveal the top four cards of your library. Put all Merfolk cards revealed this way into your hand and the rest on the bottom of your library in any order. {3}{U}: Tidal Courier gains flying until end of turn.	['APC']
Duplicant	['Artifact', 'Creature']	['Shapeshifter']	6	colorless	2	4	Imprint — When Duplicant enters the battlefield, you may exile target nontoken creature. As long as a card exiled with Duplicant is a creature card, Duplicant has the power, toughness, and creature types of the last creature card exiled with Duplicant. It's still a Shapeshifter.	['MRD', 'ARC', 'CM1']
Crypt Champion	['Creature']	['Zombie']	4	['Black']	2	2	Double strike When Crypt Champion enters the battlefield, each player puts a creature card with converted mana cost 3 or less from his or her graveyard onto the battlefield. When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it.	['DIS']
Cogwork Grinder	['Artifact', 'Creature']	['Construct']	6	colorless	0	0	Draft Cogwork Grinder face up. As you draft a card, you may remove it from the draft face down. (Those cards aren't in your card pool.) Cogwork Grinder enters the battlefield with X +1/+1 counters on it, where X is the number of cards you removed from the draft with cards named Cogwork Grinder.	['CNS']
Dominus of Fealty	['Creature']	['Spirit', 'Avatar']	5	['Blue', 'Red']	4	4	Flying At the beginning of your upkeep, you may gain control of target permanent until end of turn. If you do, untap it and it gains haste until end of turn.	['EVE', 'CMD']
Renegade Demon	['Creature']	['Demon']	5	['Black']	5	3	NA	['AVR']
Soul of the Harvest	['Creature']	['Elemental']	6	['Green']	6	6	Trample Whenever another nontoken creature enters the battlefield under your control, you may draw a card.	['AVR', 'C14']
Undead Gladiator	['Creature']	['Zombie', 'Barbarian']	3	['Black']	3	1	{1}{B}, Discard a card: Return Undead Gladiator from your graveyard to your hand. Activate this ability only during your upkeep. Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)	['ONS']
Phage the Untouchable	['Creature']	['Avatar', 'Minion']	7	['Black']	4	4	When Phage the Untouchable enters the battlefield, if you didn't cast it from your hand, you lose the game. Whenever Phage deals combat damage to a creature, destroy that creature. It can't be regenerated. Whenever Phage deals combat damage to a player, that player loses the game.	['LGN', '10E', 'CNS']
Belltower Sphinx	['Creature']	['Sphinx']	5	['Blue']	2	5	Flying Whenever a source deals damage to Belltower Sphinx, that source's controller puts that many cards from the top of his or her library into his or her graveyard.	['RAV', 'M12']
Fortress Crab	['Creature']	['Crab']	4	['Blue']	1	6	NA	['ISD']
Axelrod Gunnarson	['Creature']	['Giant']	8	['Black', 'Red']	5	5	Trample Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.	['LEG', 'CHR', 'ME3']
Defender of the Order	['Creature']	['Human', 'Cleric']	4	['White']	2	4	Morph {W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.) When Defender of the Order is turned face up, creatures you control get +0/+2 until end of turn.	['LGN']
Taoist Hermit	['Creature']	['Human', 'Mystic']	3	['Green']	2	2	Hexproof (This creature can't be the target of spells or abilities your opponents control.)	['PTK']
Guardian Beast	['Creature']	['Beast']	4	['Black']	2	4	As long as Guardian Beast is untapped, noncreature artifacts you control can't be enchanted, they have indestructible, and other players can't gain control of them. This effect doesn't remove Auras already attached to those artifacts.	['ARN', 'ME4']
Tradewind Rider	['Creature']	['Spirit']	4	['Blue']	1	4	Flying {T}, Tap two untapped creatures you control: Return target permanent to its owner's hand.	['TMP', 'pJGP', 'VMA', 'TPR']
Minotaur Tactician	['Creature']	['Minotaur']	4	['Red']	1	1	Haste Minotaur Tactician gets +1/+1 as long as you control a white creature. Minotaur Tactician gets +1/+1 as long as you control a blue creature.	['APC']
Arachnus Spinner	['Creature']	['Spider']	6	['Green']	5	7	Reach (This creature can block creatures with flying.) Tap an untapped Spider you control: Search your graveyard and/or library for a card named Arachnus Web and put it onto the battlefield attached to target creature. If you search your library this way, shuffle it.	['M12']
Siege Mastodon	['Creature']	['Elephant']	5	['White']	3	5	NA	['M10', 'M11', 'M12', 'M14']
Death's Shadow	['Creature']	['Avatar']	1	['Black']	13	13	Death's Shadow gets -X/-X, where X is your life total.	['WWK']
Discordant Spirit	['Creature']	['Spirit']	4	['Black', 'Red']	2	2	At the beginning of each end step, if it's an opponent's turn, put a +1/+1 counter on Discordant Spirit for each 1 damage dealt to you this turn. At the beginning of your end step, remove all +1/+1 counters from Discordant Spirit.	['MIR']
Dread Warlock	['Creature']	['Human', 'Wizard']	3	['Black']	2	2	Dread Warlock can't be blocked except by black creatures.	['M10']
Tornado Elemental	['Creature']	['Elemental']	7	['Green']	6	6	When Tornado Elemental enters the battlefield, it deals 6 damage to each creature with flying. You may have Tornado Elemental assign its combat damage as though it weren't blocked.	['5DN', 'HOP', 'C14']
Conclave Equenaut	['Creature']	['Human', 'Soldier']	6	['White']	3	3	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Flying	['RAV', 'DDF']
Ink-Eyes, Servant of Oni	['Creature']	['Rat', 'Ninja']	6	['Black']	5	4	Ninjutsu {3}{B}{B} ({3}{B}{B}, Return an unblocked attacker you control to hand: Put this card onto the battlefield from your hand tapped and attacking.) Whenever Ink-Eyes, Servant of Oni deals combat damage to a player, you may put target creature card from that player's graveyard onto the battlefield under your control. {1}{B}: Regenerate Ink-Eyes.	['pPRE', 'BOK', 'PC2', 'V13']
Zodiac Dog	['Creature']	['Hound']	3	['Red']	2	2	Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)	['PTK']
Steadfast Guard	['Creature']	['Human', 'Rebel']	2	['White']	2	2	Vigilance (Attacking doesn't cause this creature to tap.)	['MMQ', '10E']
Hate Weaver	['Creature']	['Zombie', 'Wizard']	2	['Black']	2	1	{2}: Target blue or red creature gets +1/+0 until end of turn.	['INV', '10E']
Groffskithur	['Creature']	['Beast']	6	['Green']	3	3	Whenever Groffskithur becomes blocked, you may return target card named Groffskithur from your graveyard to your hand.	['MRD']
Telethopter	['Artifact', 'Creature']	['Thopter']	4	colorless	3	1	Tap an untapped creature you control: Telethopter gains flying until end of turn.	['TMP', 'TPR']
Nyx Weaver	['Enchantment', 'Creature']	['Spider']	3	['Black', 'Green']	2	3	Reach At the beginning of your upkeep, put the top two cards of your library into your graveyard. {1}{B}{G}, Exile Nyx Weaver: Return target card from your graveyard to your hand.	['JOU']
Kothophed, Soul Hoarder	['Creature']	['Demon']	6	['Black']	6	6	Flying Whenever a permanent owned by another player is put into a graveyard from the battlefield, you draw a card and you lose 1 life.	['ORI']
Tromokratis	['Creature']	['Kraken']	7	['Blue']	8	8	Tromokratis has hexproof unless it's attacking or blocking. Tromokratis can't be blocked unless all creatures defending player controls block it. (If any creature that player controls doesn't block this creature, it can't be blocked.)	['pLPA', 'BNG']
Treacherous Werewolf	['Creature']	['Werewolf', 'Minion']	3	['Black']	2	2	Threshold — As long as seven or more cards are in your graveyard, Treacherous Werewolf gets +2/+2 and has "When Treacherous Werewolf dies, you lose 4 life."	['JUD']
Hobgoblin Dragoon	['Creature']	['Goblin', 'Knight']	3	['White', 'Red']	1	2	Flying, first strike	['EVE']
Serpent Warrior	['Creature']	['Snake', 'Warrior']	3	['Black']	3	3	When Serpent Warrior enters the battlefield, you lose 3 life.	['POR', 'STH', 'S99', '7ED', '8ED', '9ED', 'TPR']
